   1 25
 21
  0 0.1                       D+01
  1 0.1                       D+01
  2 0.2                       D+01
  3 0.6                       D+01
  4 0.24                      D+02
  5 0.120                     D+03
  6 0.720                     D+03
  7 0.5040                    D+04
  8 0.40320                   D+05
  9 0.362880                  D+06
 10 0.3628800                 D+07
 11 0.39916800                D+08
 12 0.479001600               D+09
 13 0.6227020800              D+10
 14 0.87178291200             D+11
 15 0.1307674368000           D+13
 16 0.20922789888000          D+14
 17 0.355687428096000         D+15
 18 0.6402373705728000        D+16
 19 0.121645100408832000      D+18
 20 0.2432902008176640000     D+19
    7 0.735610878013631772028145D+00    8 0.656651094038864961219898D+00
    9 0.569720471811401719308003D+00   10 0.475874224955118261034412D+00
   11 0.376251516089078710221357D+00   12 0.272061627635178077676826D+00
   13 0.164569282133380771281472D+00   14 0.550792898840342704265166D-01
   29
    1 0.996679442260596586163191D+00    2 0.982545505261413174870926D+00
    3 0.957285595778087725798208D+00    4 0.921180232953058785093753D+00
    5 0.874637804920102790417793D+00    6 0.818185487615252444989572D+00
    7 0.752462851734477133912610D+00    8 0.678214537602686515156185D+00
    9 0.596281797138227820379586D+00   10 0.507592955124227642102628D+00
   11 0.413152888174008663890707D+00   12 0.314031637867639934948196D+00
   13 0.211352286166001074506376D+00   14 0.106278230132679230170982D+00
   30
    1 0.996893484074649540271630D+00    2 0.983668123279747209970033D+00
    3 0.960021864968307512216871D+00    4 0.926200047429274325879324D+00
    5 0.882560535792052681543116D+00    6 0.829565762382768397442898D+00
    7 0.767777432104826194917977D+00    8 0.697850494793315796932292D+00
    9 0.620526182989242861140478D+00   10 0.536624148142019899264170D+00
   11 0.447033769538089176780610D+00   12 0.352704725530878113471037D+00
   13 0.254636926167889846439805D+00   14 0.153869913608583546963795D+00
   15 0.514718425553176958330252D-01
   31
    1 0.997087481819477074055627D+00    2 0.984685909665152484002465D+00
    3 0.962503925092949661789052D+00    4 0.930756997896648164956946D+00
    5 0.889760029948271043374192D+00    6 0.839920320146267340086905D+00
    7 0.781733148416624940406360D+00    8 0.715776784586853283905971D+00
    9 0.642706722924260346184418D+00   10 0.563249161407149262720945D+00
   11 0.478193782044902480440594D+00   12 0.388385901608232943061351D+00
   13 0.294718069981701616617904D+00   14 0.198121199335570628772413D+00
   15 0.995553121523415203251748D-01
   32
    1 0.997263861849481563544981D+00    2 0.985611511545268335400175D+00
    3 0.964762255587506430773812D+00    4 0.934906075937739689170919D+00
    5 0.896321155766052123965307D+00    6 0.849367613732569970133693D+00
    7 0.794483795967942406963097D+00    8 0.732182118740289680387427D+00
    9 0.663044266930215200975115D+00   10 0.587715757240762329040745D+00
   11 0.506899908932229390023748D+00   12 0.421351276130635345364119D+00
   13 0.331868602282127649779917D+00   14 0.239287362252137074544603D+00
   15 0.144471961582796493485186D+00   16 0.483076656877383162348126D-01
   33
    1 0.997424694246455217266168D+00    2 0.986455726230642488110376D+00
